Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","1993","1993","t","354100","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","1994","1994","t","230300","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","1995","1995","t","438800","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","1996","1996","t","600300","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","1997","1997","t","743900","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","1998","1998","t","787700","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","1999","1999","t","711400","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2000","2000","t","965800","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2001","2001","t","867200","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2002","2002","t","1017000","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2003","2003","t","795594","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2004","2004","t","1120912","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2005","2005","t","1174763","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2006","2006","t","1075238","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2007","2007","t","1396553","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2008","2008","t","2045237","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2009","2009","t","1979000","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2010","2010","t","1739110","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2011","2011","t","2132369","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2012","2012","t","2553570","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2013","2013","t","2101183","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2014","2014","t","2925079","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2015","2015","t","2896411","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2016","2016","t","2339829","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2017","2017","t","2620230","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2018","2018","t","1814765","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2019","2019","t","2308660","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2020","2020","t","2848391","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2021","2021","t","2441000","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2022","2022","t","2350000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","1993","1993","t","3618220","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","1994","1994","t","3754310","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","1995","1995","t","3435250","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","1996","1996","t","1802110","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","1997","1997","t","3574840","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","1998","1998","t","3203359","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","1999","1999","t","2642973","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2000","2000","t","2781242","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2001","2001","t","4077497","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2002","2002","t","4122765","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2003","2003","t","2003937","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2004","2004","t","3961178","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2005","2005","t","3478066","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2006","2006","t","3301882","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2007","2007","t","2390610","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2008","2008","t","4632210","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2009","2009","t","3976852","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2010","2010","t","4094597","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2011","2011","t","4458492","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2012","2012","t","4455104","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2013","2013","t","5504941","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2014","2014","t","5347078","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2015","2015","t","5011597","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2016","2016","t","5662721","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2017","2017","t","6132671","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2018","2018","t","5954520","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2019","2019","t","6319630","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2020","2020","t","4847940","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2021","2021","t","7342990","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2022","2022","t","6447770","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","1993","1993","t","3304271","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","1994","1994","t","3713476","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","1995","1995","t","3822769","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","1996","1996","t","3727203","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","1997","1997","t","3640269","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","1998","1998","t","3844741","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","1999","1999","t","4028271","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2000","2000","t","4084107","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2001","2001","t","4476080","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2002","2002","t","3866473","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2003","2003","t","2637891","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2004","2004","t","5042523","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2005","2005","t","4145039","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2006","2006","t","3506252","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2007","2007","t","3938924","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2008","2008","t","4631502","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2009","2009","t","4358073","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2010","2010","t","4161553","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2011","2011","t","4913048","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2012","2012","t","3518896","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2013","2013","t","4700696","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2014","2014","t","5442349","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2015","2015","t","5274272","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2016","2016","t","5454663","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2017","2017","t","4718205.16","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2018","2018","t","4417840","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2019","2019","t","4812160","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2020","2020","t","4902410","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2021","2021","t","4960930","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2022","2022","t","5188690","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","1993","1993","t","3020655","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","1994","1994","t","4873751","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","1995","1995","t","4614200","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","1996","1996","t","3911820","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","1997","1997","t","5258817","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","1998","1998","t","4898634","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","1999","1999","t","2638970","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2000","2000","t","3692470","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2001","2001","t","5196760","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2002","2002","t","3910244","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2003","2003","t","2941248","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2004","2004","t","6006820","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2005","2005","t","5088219","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2006","2006","t","4376235","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2007","2007","t","3986708","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2008","2008","t","5630833","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2009","2009","t","4419163","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2010","2010","t","3745190","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2011","2011","t","4107000","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2012","2012","t","4010990","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2013","2013","t","5058300","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2014","2014","t","5261890","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2015","2015","t","5331426","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2016","2016","t","5603184","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2017","2017","t","5246258","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2018","2018","t","5258430","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2019","2019","t","5377710","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2020","2020","t","5121480","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2021","2021","t","5290140","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2022","2022","t","4354710","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","1993","1993","t","8242694","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","1994","1994","t","7658457","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","1995","1995","t","8668035","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","1996","1996","t","8575954","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","1997","1997","t","8192681","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","1998","1998","t","9536576","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","1999","1999","t","9051339","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2000","2000","t","8502865","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2001","2001","t","9283044","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2002","2002","t","9304000","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2003","2003","t","7858160","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2004","2004","t","9892482","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2005","2005","t","8771434","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2006","2006","t","7059671","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2007","2007","t","8317265","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2008","2008","t","9274920","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2009","2009","t","9789586","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2010","2010","t","9408110","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2011","2011","t","9339200","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2012","2012","t","8607600","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2013","2013","t","9485183","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2014","2014","t","11628670","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2015","2015","t","10957787","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2016","2016","t","10827902","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2017","2017","t","11665702","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2018","2018","t","9637620","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2019","2019","t","10807490","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2020","2020","t","12515060","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2021","2021","t","11893550","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2022","2022","t","13195120","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","1993","1993","t","1392610","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","1994","1994","t","658780","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","1995","1995","t","1277501","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","1996","1996","t","784160","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","1997","1997","t","1345131","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","1998","1998","t","952990","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","1999","1999","t","800425","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","2000","2000","t","727721","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","2001","2001","t","1185210","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","2002","2002","t","1116180","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","2003","2003","t","520518.18","I","Imputed value",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","2004","2004","t","861030","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","2005","2005","t","1056690","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","2006","2006","t","691417","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","2007","2007","t","406484","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","2008","2008","t","1286332","A","Official figure",""
