,subject,title,content
0,flutter,webview_flutter 안드로이드 cookie 질문이요...,"회사에서 부득이하게 앱개발자 없이 앱개발을 해야하는 상황이라 웹으로 만들고 flutter 웹뷰를 만들었습니다. iOS에서는 쿠키에 jwt가 저장되서 자동로그인 기능이 잘 작동되고 있는데요, 안드로이드에서는 cookie를 따로 관리를 해줘야 한다고 하더라구요... 그래서 webview_cookie_manager 와 flutter_secure_storage를 이용해서 onPageFinished가 될 때 main page이면 cookieManager.getCookies로 jwt를 가져오고 storage.write로 쿠키를 저장해 주고 있습니다. 그리고 initState()할때 Future<void> _loadStoredCookies() async { final jwt = await storage.read(key: 'jwt'); print('jwt : $jwt'); if (jwt != null) { final cookieManager = WebviewCookieManager(); await cookieManager.setCookies([ Cookie('jwt', jwt) ..domain = ""메인페이지"" ..path = ""/"" ..secure = true ..httpOnly = true ]); bool hasCookies = await cookieManager.hasCookies(); print('쿠키가 존재하는가? $hasCookies'); } } 이렇게 쿠키를 확인하고 쿠키를 set해주는데 백그라운드에서 앱을 완전히 종료시키고 다시 실행하면 쿠키가 사라지더라고요... 왜 그런건가요...??"
1,flutter,flutter에서 native 앱 개발자로 넘어가야 할 지 고민입니다.,"flutter로 지금 만 2년 정도 개발을 하였습니다. flutter가 매력이 있고 발전 가능성이 있다고는 생각하나 좀 더 규모가 있는 회사로 가기에는 알맞지 않은..? 것 같습니다. 제가 생각한 이유는 다음과 같습니다. 1. 규모가 있는 회사에서는 이미 native로 되어 있는 앱을 가지고 있는 경우가 많다. 2. 이런 회사들의 경우 신규앱을 flutter로 만들기 위해 flutter 개발자를 뽑아도 native 경력을 가진 사람을 선호한다. (제가 본 채용공고가 전부는 아니겠지만, 대부분의 경우 flutter를 써봤거나 관심이 있는 native 경력자를 뽑음) 3. 새로운 서비스를 굳이 flutter로 할 이유가 없어보임, 이미 있는 native인력을 두고 flutter를? 지금 다니고 있는 회사가 안정성이 없진 않아서 시간이 촉박하진 않지만, 지금이라도 커리어 전환을 해야 될지 고민이 됩니다. 커리어 전환을 고민하는 이유는 다음과 같습니다. 1. flutter 이직이 쉽지 않습니다. 사용하는 회사도 많지 않을 뿐더러, 대부분의 공고가 스타트업의 채용공고라 불안정성을 안고 가야합니다. 2. 네이티브 기능이 아쉽습니다. 그 os에 특화된 디자인, 기능이 요구사항으로 올 때마다 머리가 아픕니다... 3. flutter가 native 시장을 뺏어올 수 있을까 에 대한 의구심이 듭니다. (개인적인 생각) 긴 글 읽어주셔서 감사합니다. 나이는 26살입니다."
2,flutter,flutter 화면 전환,"안녕하십니까! Flutter로 졸업 작품 앱 개발 진행 중인 대학생입니다. Splash 화면 구현과, 자동 로그인 및 사용자 초기 정보 입력 페이지를 구현하던 중, 화면 전환에 대해 궁금한 점이 생겼습니다. 1. Navigator.push()를 이용해서 route를 전환 2. route를 구성하는 전체 위젯을 갈아끼움 두 방법 중 사용자에게 또 다른 화면 구성을 제공하는 방법에는 어떤 것이 더 효율적이며, 무슨 차이가 있는지 궁금합니다!! 예시 1번 if (_autoLogin) { Navigator.push(context, (context) => FirstPage()); } else { Navigator.push(context, (context) => SecondPage()); } 2번 Scaffold( body: _autoLogin ? FirstPage() : SecondPage() )"
3,flutter,flutter와 arduino의 블루투스 통신 방법,컴퓨터과학과 1학년에 재학 중입니다. 이번에 과제로 flutter와 bluetooth의 통신을 구현하게 되었습니다. flutter blue를 활용해서 통신을 구현해보려고 했지만 여러가지 문제가 생겨서 질문을 하게 되었습니다. 질문 1. flutter blue로 arduino와 통신이 가능할까요? stack overflow나 여러 코드를 참조하려고 구글링을 했지만 시원한 답이 나오지 않았습니다. 질문 2. 더 좋은 대안이 존재하나요? flutter blue가 아닌 다른 패키지를 통해서 더 나은 방식으로 bluetooth 연결이 가능한지가 궁금합니다.
4,flutter,"Flutter terminated 상태에서 full-screen 알람 질문드립니다,,","flutter로 프로젝트 진행중인데 막혀버려서 질문드립니다,, 현재 fcm을 통해 data의 isfullscreen의 값을 bool 값으로 받아 true라면 원하는 페이지를 띄워 강한 알람을 주고 false라면 일반적인 push 알람을 받으려고 합니다. 알람 어플들을 생각하면 편하실 것 같아요. 조건은 다르지만 특정 상황에서 잠금화면이라도 페이지를 통해 사용자가 이벤트를 실행하면 꺼지게 하고 싶은데 쉽지가 않아서 질문드립니다,,, 혹시 flutter로만은 안될까요?"
5,flutter,Flutter에서 Ini File,"VSCODE환경에서 Flutter를 이용해서 Android app을 개발중입니다. ini file을 통해 ip address등 환경변수들을 저장하고 싶은데, ini.dart 나 ini_file.dart등 package를 써봤는데, 권한 문제인지 경로문제인지 화일을 찾을수 없다고 나오거나, (OS Error: Read-only file system, errno = 30)이런 에러가 뜹니다. 아직 Flutter는 초보라서 잘 모르니 고수분들의 지도 간곡히 부탁드립니다."
6,flutter,flutter 앱 난독화 방법 중 어떤 방법이 더 효율적인가요?,"Flutter 앱 개발 중인 학생입니다! 제가 판단했을 때는 앱이 어느정도 갖춰진 것 같아서, 출시를 도전하려고 합니다! 보안도 중요한지라, api key같은 중요한 정보는 디컴파일이나 리버스 엔지니어링으로부터 보호해야 한다고 하더라구요! 프로젝트 firebase-options 파일에 API-Key가 포함되어 있어서 보안 목적으로 난독화를 진행하고 싶은데요! 1. proguard 2. flutter build apk --obfuscate --split-debug-info 제가 잘 몰라서 그러는데, 위 두 방법 중 더 효율적인 방법은 무엇인가요?? 아니면 혹시 1. proguard 파일을 작성 후 2. 터미널 명령어를 이용해서 난독화를 진행하는 건가요?? .env 파일을 이용해서 api key를 숨기는 방법도 있던데, 이 방법은 난독화에 비해서는 보안에 취약한가요?? 고수분들의 도움을 받고 싶습니다!!"
7,flutter,학교를 졸업했지만 어디 분야로 가야할지 모르겠습니다,"저는 원래 기계공학과였다가, 저랑은 영 맞지 않는것 같아서 1년 반 다니다가 컴퓨터공학과로 전과했습니다. 그런데 기계공학과와 컴퓨터공학과 모두 공학이긴 하지만 듣는 강의는 차이가 꽤 있어서 기계공학과에서 들었던 학점 대부분은 인정받지 못하고 증발해버렸습니다. 그래서 2학년이긴 하지만 전공학점은 신입생들과 별반 다를바가 없었어요 잘못하면 제때 졸업못하고 최소 1년이상 초과학기를 하게될테고 형편상 그건 어렵기 때문에, 전과해서 아는것도 하나도 없음에도 2학년과 1학년 수업을 같이 들으면서, 어떻게든 학기마다 풀학점으로 꽉꽉 채워서 결국 초과학기는 한 학기만 한 채로 졸업할 수 있었습니다. 그래도 나쁘진 않았습니다. 적어도 기계공학과에 있을 때보단 이쪽이 훨씬 제 적성에 맞았거든요. 그래서 그런지 학점도 4.0/4.5점 으로 괜찮게 졸업할 수 있었습니다. 그런데 너무 수업만 따라가기 바빠서 그런건지 졸업한 뒤 제가 어느 분야로 갈지는 깊게 생각해보질 않았어요. 미리 생각해 놨다면 학교 수업 외에도 그쪽으로 따로 공부를 하면서 준비할 수 있었을텐데, 그러질 않았으니 그저 학교에서 하는 강의만 열심히 들으면서 다녔습니다. 그리고 졸업하니까 어디로 가야할지 모르겠더라고요. 일단 제가 학교에서 배우고 해봤던걸 대충 적어보자면 javascript, java, python, c, html, css, mysql, oracle, unity, android studio, jsp, unix 이정도와 운영체제, 자료구조 같은 cs 입니다. 일단 저는 원티드, 로켓펀치, 프로그래머스 같은 사이트들을 돌면서 공고를 살펴 봤습니다. 프론트엔드쪽 기술스택을 살펴보니 html, css, javascript는 배웠지만 react, redux, node.js, next.js, typescript 이런 것들이 나오는데, 전부 한번도 안해봤던 것들이더라고요. 그래서 백엔드쪽 기술스택을 살펴보니 spring, jpa, django, docker, fastapi, flask 등등 이런것들이 나오는데 역시 안해봤던 것들이었습니다. 그래서 다음은 안드로이드쪽을 살펴봤습니다. 팀프로젝트를 하면서 앱을 만든 경험이 있었거든요 kotlin, flutter, react...역시 안해본 것들입니다 저흰 java만 배워서 코틀린을 안해봤습니다. 그리고 flutter, react 같은 크로스플랫폼 또한 다뤄본 적 없고요 이런식으로 막상 실무에서 요구하는 기술들과 제가 학교에서 배웠던걸 매치해보니 제가 부족한게 너무 많더라고요. 사실 처음 채용공고 봤을땐 제가 모르는 용어들도 많아서 멘붕이 왔었습니다. 물론 이제 막 학교 졸업하고 실무경험도 없는 신입이니 부족한게 많은건 당연한것이고, 신입이 그 기술스택을 다 숙지할 수도 없다는것도 알고 있습니다만, 그럼에도 제가 너무 부족한게 많다는 생각을 지울수가 없더군요 서론이 길었네요 그래서 결론은 현재 저의 상태에서 가장 빠르게 준비해서 취업할 수 있을만한 분야가 어디일까요? 저는 개발쪽이기만 하면 상관없는데, 저희집 사정상 가능한한 빠르게 준비해서 빠르게 취업하고 싶습니다."
8,flutter,Flutter_Secure_Storage 배포 오류 질문드립니다.,"안녕하세요. Flutter 주니어 개발자입니다. Flutter secure storage 패키지 사용해서 각종 정보 암호화하여 사용하였는데 해당 패키지가 릴리즈 디버그 에서는 오류를 발생시키지않다가 배포후에 read가 되지않는 오류가 몇몇 기기에 발생하였습니다. 공식문서에는 안드로이드 기종에서 문제가 있을수 잇다는 글이있어 옵션(encryptedSharedPreference : true)을 걸어두었습니다. 그럼에도 오류는 해결되지않았는데, 혹시 해당 오류 경험하셧거나 해결방안 아시는분계실까요?"
9,flutter,중고신입 프론트엔드 이직 고민,"안녕하세요. 프론트엔드 개발자로 일한지 1년정도 된 신입 개발자입니다. 처음 개발입문을 웹개발로 시작해서 React를 공부했고 그렇게 React개발하는 회사에 취업해 6개월정도 JS기반 React 프로젝트를 진핸했습니다. 이후 회사가 모바일앱을 개발하게되어 독학으로 Flutter를 공부하게되었고 현재 5개월째 Flutter개발로 앱개발을 업무를 하고 있습니다. 이런 상황에서 여러가지 이유로 이직을 고민하고 있는데요...! 웹개발과 앱개발 모두 개발하는 과정에서 다 재밌었고 좋았습니다. JS로 개발하다가 오히려 Dart를 사용하면서 타입이 적용되서 더 꼼꼼히 개발하게되는 경험이 있었고 상태관리를 쓰는것도 웹개발때 보다는 flutter개발에서 더 그 구조를 잘 이해하게 된거같습니다. 그런데, 이직을 고려하는 시점에서 React개발자로 이직을 하고 싶습니다. 현재 회사에서는 flutter개발을 하고있지만, flutter를 개발한 경험이 제 스스로에겐 개발 전체적 경험에서 많은 도움이 된거같은데 이런 부분을 React웹개발자로 지원하는데 이력서를 어떤식으로 작성해야 할지 모르겠습니다. 처음 6개월 리엑트 개발을 하면서는 첫 프로젝트고 정신이없어서 개발했던 내용들을 잘 정리를 못했더라구요.. 그래서 flutter개발을 하면서는 개발이슈라던가 그런것들을 정리를 했는데, 앞선 리엑트 경험이 6개월전 경험이어서... 이걸 어떻게 어필하는게 좋을지 어필이 되는지... 다른 리엑트 프로젝트를 지금이라도 개인적으로 더 해야할지 고민이됩니다. 두서없이 길게 작성을 했네요 ㅠㅠ 짧게 정리하면, 6개월 리엑트 5개월 플러터 한 경험으로 리엑트 중고신입으로 지원하려면 어떤식으로 전략을 짜는게 좋을까요??? 긴글 읽어주셔서 감사합니다!"
10,flutter,앱(Flutter)에서 JSON데이터를 검색하려고 합니다,"안녕하세요 Flutter를 이용하여 식단 및 체성분 관리 앱을 개발 중인 대학생입니다! json형식의 식품영양성분 공공데이터 안에서 사용자가 입력한 식품명 검색어를 기준으로 데이터를 불러오려고 합니다. DB는 Google Firebase를 사용 중이며, 위와 같은 목적으로 데이터를 사용 할 때에 적합하지 않다면 다른 DB를 사용 할 의향도 있습니다. 사용자의 검색어로 시작하는 특정 데이터만이 아니라, 검색어를 ""포함""하는 데이터도 불러오고 싶습니다. 현재 어느 정도 그려 본 방법입니다. 영양성분 JSON 다운로드 ↓ Python을 이용하여 필요한 데이터만 가공 ↓ Firebase Realtime Database / Storage에 저장 ↓ 저장된 JSON을 API 호출을 통해 String으로 불러옴 / 앱 내부에 .json 파일로 저장 ↓ Map으로 변환 후 캐싱 ↓ 사용자가 검색어 입력 ↓ 검색어를 포함하는 데이터만 별도 리스트에 추가 여기서 데이터를 불러오는 과정에서 필터링을 거치지 않는 이유는 Firebase Realtime Database에서는 검색어를 ""포함""하는 것이 아닌, 사전 순으로 검색어 기준 뒤에 있는 데이터만 가능하다고 합니다.. 그래서 결국 JSON파일로 직접 사용하기로 했습니다 혹시나 저의 부족함이 보이시는 분들의 조언과 피드백을 듣고 싶습니다! 더 나은 방법이 있다면 무차별 폭격 및 질문 부탁드립니다! 미리 감사드립니다 (_ _)"
11,flutter,Flutter firebase stream 채팅 데이터다 불러와서 팅기는 문제,Flutter에 firebase stream으로 실시간 채팅 앱을 만들었는데 데이터가 많아지면서 앱이 팅기는 문제가 생기고 있습니다 limite 말고 다른 방법이 있을까요? Future는 data page가 있는데 stream은 없는거 같아서 다른 분들은 어떻게 하나요? 아니면 로컬에 저장하고 사용하나요?
12,flutter,SSAFY(싸피) vs LG DX School vs 네이버 부스트캠프,"인서울 대학의 전자공학과에서 생성형 AI 관련 연구(이미지 생성)로 석사를 졸업 후 29살이지만 자신감이 부족해서 부트캠프를 고려하고 있습니다. (이미지 생성 개발자를 찾는 사람도 없고... 참 연구주제 선택이 후회되네요) 1. SSAFY: 데이터 트랙 / https://www.ssafy.com/ksp/jsp/swp/swpMain.jsp 2. LG DX School / https://dxschool.co.kr/ 3. 네이버 부스트캠프 AI 테크 / https://boostcamp.connect.or.kr/program_ai.html 위 세 가지 중 선배님들은 어떤 부트캠프를 추천하시나요? 그저 바람이지만 데이터사이언티스트 쪽이면 좋겠네요,,, 정보 및 고민: 1. 싸피의 데이터트랙은 이번이 첫 기수입니다. 따라서 정보가 전혀 없는데, 데이터사이언티스트 교육이 아닌 데이터엔지니어 교육일까 걱정이네요. 2. LG DX School또한 첫 기수인데, Java, Spring, jsp/servlet, Flutter이 커리큘럼에 있어 망설여지네요. 3. 부스트캠프는 AI 전문코스이며 CV, NLP, RecSys의 세 가지 선택지가 있습니다. 이미지 생성쪽이 없는게 아쉽네요,,"
13,flutter,Flutter AppLifecycleState 질문이 있습니다.,flutter에서 AppLifecycleState를 이용하여 paused -> resumed 상태로 변경될 때 잠금 화면 위젯으로 이동하게끔 구성하려고 합니다. 다만 이렇게 하면 동작은 되지만 생체인증/업로드 등의 동작을 하더라도 앱을 벗어났다고 판단해서 잠금 화면을 띄워주는 것 때문에 문제입니다. 제가 AppLifecycleState를 잘못 사용하고 있는건가요? 아니면 여기서 추가로 더 로직을 구현해서 예외처리를 해야하는걸까요? 아무리 구글링/스택오버플로우를 찾아봐도 딱히 이런 내용은 없어서 저만 바보인 것 같은 느낌이 드네요 🥲
14,flutter,Flutter web firebase 변경,Flutter 기술을 공부하고 있는 대학생입니다. :) 기존 flutter web project를 git clone한 후에 사용 중이던 firebase 프로젝트를 다른 프로젝트로 변경하려고 index.html파일에 config를 수정했는데 적용이 안돼서요 ! 혹시 이 방법이 아닌가요 ?
15,flutter,[DB 설계] postreSQL 주소 저장,"대학 4학년 재학중이고 현재 스타트업 초기 개발자로 근무를 시작했습니다. 프론트는 flutter, DB는 postresql, 백 프레임워크는 python Django를 이용해 하이브리드 어플리케이션을 개발하고자 합니다. 장소 table을 만들면서 주소 column을 만들어야 하는데, 서울/부산/울산 등 지역별 필터링이 가능하도록 설계해야 합니다. 1. 단순히 textfield 를 하기엔 필터링마다 모든 row의 주소 column에서 해당 단어들을 찾아야 하는 부담이 있고, arrayfield(char)을 하기엔 프론트에서 받아와서 처리하는 것에 어려움이 있을 것 같습니다. 2. 프론트에서 주소 입력하는 형태가 아직 정해지지 않았는데, 아마 도로명 주소 검색해서 선택하고 상세주소를 입력하는 방법을 도입할 것 같습니다. 이 기능을 구현해본 적이 없어 어떤 식으로 DB를 설계하고 입력/저장/출력을 관리하면 좋을지 조언을 구하고 싶습니다. 덧붙여서, 혹시 지도 api 등을 연결해서 주소를 등록하게 되더라도 DB 설계에는 변함이 없는게 맞는건지 궁금합니다. 감사합니다."
16,flutter,커리어리 앱은 어떻게 만들었나요?,"대학교 3학기를 마치고 군 복무 중인 초급 개발자입니다. 커리어리 같은 앱을 만들고 싶은데요. 웹/앱 개발을 위해 풀스택 로드맵을 찾아보니 여러 디자인 프레임워크, 프론트엔드 프레임워크, 백엔드 프레임워크, 데이터베이스들이 있더라고요. 디자인 프레임워크에는 Material UI, Bootstrap, ... 프론트엔드 프레임워크에는 React, Next.js, Flutter, ... 백엔드 프레임워크에는 Spring, Django, Express, ... 데이터베이스에는 MySQL, SQLite, ... 이렇게 여러가지가 있던데 각각 장단점들이 있어서 이중에서 어떤 것을 공부해야 할지 모르겠어요. 저는 Python, C/C++, Kotlin(약간)을 배웠습니다. 제게 필요한 프레임워크는 어떤게 있고 어떻게 찾아야 할까요? 일단은 Material UI, Flutter, Express, SQLite로 해볼까 합니다. 이게 괜찮은 선택일까요?"
17,flutter,JAVA를 안써봤는데 Kotlin을 입문해도 괜찮을지 고민입니다.,"안녕하세요. 2년차 30살 프론트엔드 개발자입니다. 저의 기술 스택은 React, React Native, Flutter, VueJS 등등 한 번씩 프로젝트로 겪어봤습니다. 이 중에서 Flutter로 업무 방향성을 잡고 나아가고 싶다는 마음이 큽니다. Flutter와 더불어 Native 언어인 Kotlin을 입문하고 싶은데, JAVA를 한 번도 안써봤는데 지금부터 입문해도 괜찮을까요?"
18,flutter,Flutter만 가지고가기엔 한계가 있을까요?,"안녕하세요 . 곧 졸업 앞둔 취준생 프론트앤드 개발자입니다. Flutter만 가지고 취직준비를 하려는데 구하는 곳이 너무 조금밖에 없고, 대부분 10명내외의 스타트업이더라구요. 하지만 첫 직장이 나중의 직장에 영향이 있다는 말을 많이 들어서 고민중이에요. 현재 Flutter로 1년정도 개발을 해왔고, 정말 괜찮은 곳을 취직하기 위해선 native중에 하나는 해야하지 않을까 라는 고민을 하고있어요. 취직을 해서도 Flutter로만 계속 가는건 한계가 있을거같아서 이왕 공부해야할거 지금 미리하는게 낫지않을까 라는 생각도 있어요 ㅠ. Flutter만 가지고가기엔 한계가 있을까요?"
19,flutter,"[Flutter] theme: TemeData(primarySwatch: Colors.blue,), 관한 질문","초보 Flutter 입니다. theme: TemeData( PrimarySwatch: Colors.blue,), 이 코드가 전체적인 테마를 파란색으로 한다고 이해했는데 Appbar 부분 색상이 안보이고 제목만 보입니다. 따로 Appbar 배경색을 지정해도 되지만 왜 안되는지 궁금합니다."
20,flutter,[Flutter] 실무에서 flutter 상태관리는 어떤걸 사용하나요?,"찾아보니까 패키지가 엄청나게 많더라구요 provider, riverpod, getx, get_it..... 졸업작품 개발 중 인터넷 상태 앱 전역 검사를 구현하다가, getx를 접하게 되어서 상태관리가 중요하고, 코드를 효율적으로 짤 수 있구나를 깨닫고 공부해보려고 합니다 이 주제 아니어도 flutter와 그 외 실무에 관해서도 조언 받고싶습니다!"
